substitution,alternative
substitute,alternative 
replacement,alternative 
alternatived,alternative 
replace,alternative 
eco,environment
faster,fast
hilly,hills
mountain,hills
mountains,hills
inconvenience,inconvenient
interest,interesting
interested,interesting
interests,interesting
popularity,popular
technologies,technology
travel,transit
transportation,transit
transport,transit
interested,interesting
waste,wasteful
